epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.053,1.24871,1.43565,1.52502,0.96253,0.94842,0.98137,0.62891,1.28475,0.78123,1.7258,0.0668099,3.32233e-05,3.32233e-05
2,232.876,1.0552,0.95441,1.36303,0.96102,0.96424,0.98911,0.69142,1.14473,0.65745,1.58258,0.0335092,6.58977e-05,6.58977e-05
3,342.95,1.00262,0.8622,1.32179,0.97443,0.98277,0.99329,0.75437,0.91626,0.48178,1.38691,0.000207923,9.79122e-05,9.79122e-05
4,451.897,0.95453,0.77981,1.29169,0.98016,0.98462,0.99356,0.73755,0.90317,0.45823,1.37059,9.703e-05,9.703e-05,9.703e-05
5,560.731,0.943,0.75715,1.28493,0.99116,0.98359,0.99428,0.75585,0.90488,0.45545,1.36295,9.604e-05,9.604e-05,9.604e-05
6,669.404,0.91455,0.7195,1.26687,0.98732,0.98652,0.99448,0.76129,0.90585,0.43521,1.36525,9.505e-05,9.505e-05,9.505e-05
7,778.176,0.90371,0.70543,1.2601,0.98635,0.98886,0.99441,0.76184,0.89058,0.41849,1.34707,9.406e-05,9.406e-05,9.406e-05
8,887.476,0.88892,0.67888,1.25001,0.97932,0.9871,0.99412,0.76249,0.89617,0.41727,1.35316,9.307e-05,9.307e-05,9.307e-05
9,995.571,0.87929,0.65805,1.23985,0.98832,0.99166,0.99469,0.7603,0.92876,0.40655,1.3756,9.208e-05,9.208e-05,9.208e-05
10,1102.9,0.87202,0.65477,1.23561,0.99004,0.99055,0.99474,0.76491,0.8745,0.38673,1.33875,9.109e-05,9.109e-05,9.109e-05
11,1212.83,0.86817,0.64513,1.23299,0.98944,0.99179,0.99453,0.78734,0.84391,0.3738,1.30889,9.01e-05,9.01e-05,9.01e-05
12,1322.86,0.86286,0.62172,1.22747,0.99004,0.99052,0.99479,0.76704,0.87466,0.3826,1.33812,8.911e-05,8.911e-05,8.911e-05
13,1433.6,0.84866,0.60828,1.22086,0.98308,0.98764,0.99452,0.79018,0.82188,0.38666,1.2897,8.812e-05,8.812e-05,8.812e-05
14,1545.15,0.84297,0.60409,1.22016,0.99353,0.99039,0.99474,0.79118,0.83176,0.35452,1.29996,8.713e-05,8.713e-05,8.713e-05
15,1656.51,0.84054,0.589,1.2161,0.99257,0.99062,0.99462,0.78631,0.83167,0.35728,1.30715,8.614e-05,8.614e-05,8.614e-05
16,1765.99,0.84858,0.59391,1.21928,0.98945,0.98947,0.99475,0.79403,0.82149,0.3566,1.28571,8.515e-05,8.515e-05,8.515e-05
17,1876.83,0.82838,0.58532,1.21058,0.99239,0.99423,0.99478,0.78453,0.84466,0.35833,1.30383,8.416e-05,8.416e-05,8.416e-05
18,1987.8,0.82765,0.56714,1.20724,0.99411,0.99414,0.99471,0.7903,0.8171,0.346,1.28057,8.317e-05,8.317e-05,8.317e-05
19,2098.8,0.8257,0.57526,1.2061,0.99481,0.99238,0.99477,0.79255,0.83263,0.34289,1.29077,8.218e-05,8.218e-05,8.218e-05
20,2212.09,0.81759,0.56168,1.20267,0.9959,0.99581,0.99482,0.78687,0.83287,0.34201,1.30669,8.119e-05,8.119e-05,8.119e-05
21,2323.28,0.82464,0.56247,1.20766,0.99412,0.99103,0.9948,0.8022,0.81044,0.34279,1.27488,8.02e-05,8.02e-05,8.02e-05
22,2435.87,0.81017,0.5553,1.19725,0.9942,0.99179,0.99465,0.79318,0.81981,0.34107,1.28158,7.921e-05,7.921e-05,7.921e-05
23,2545.55,0.81939,0.5594,1.20425,0.99531,0.99441,0.99487,0.79382,0.81468,0.33866,1.28438,7.822e-05,7.822e-05,7.822e-05
24,2655.29,0.80795,0.54432,1.19735,0.99726,0.99297,0.99483,0.79674,0.80617,0.33805,1.27151,7.723e-05,7.723e-05,7.723e-05
25,2766.38,0.80939,0.53749,1.19041,0.99404,0.99179,0.99481,0.79418,0.82272,0.34304,1.28626,7.624e-05,7.624e-05,7.624e-05
26,2881.6,0.80017,0.54308,1.19083,0.9917,0.99414,0.99473,0.79508,0.80927,0.33401,1.27747,7.525e-05,7.525e-05,7.525e-05
27,2994.27,0.80192,0.53818,1.19201,0.99295,0.99414,0.99482,0.80192,0.81225,0.33012,1.27776,7.426e-05,7.426e-05,7.426e-05
28,3104.76,0.8054,0.53139,1.18975,0.99241,0.99571,0.99481,0.79822,0.81702,0.33557,1.28591,7.327e-05,7.327e-05,7.327e-05
29,3215.66,0.79721,0.5217,1.18767,0.99288,0.99531,0.99482,0.80857,0.8016,0.34038,1.26757,7.228e-05,7.228e-05,7.228e-05
30,3324.7,0.8024,0.52852,1.18201,0.99506,0.99472,0.99484,0.80272,0.80565,0.32921,1.27029,7.129e-05,7.129e-05,7.129e-05
31,3433.58,0.78808,0.5094,1.18109,0.99525,0.9959,0.99487,0.80167,0.80069,0.32044,1.26599,7.03e-05,7.03e-05,7.03e-05
32,3544.52,0.78669,0.51176,1.18724,0.99532,0.99699,0.99484,0.80488,0.79718,0.32418,1.2631,6.931e-05,6.931e-05,6.931e-05
33,3653.8,0.79063,0.51734,1.17552,0.99462,0.99355,0.99486,0.81015,0.79241,0.32016,1.26108,6.832e-05,6.832e-05,6.832e-05
34,3763.84,0.78033,0.50764,1.17385,0.99298,0.99535,0.99478,0.81197,0.79047,0.3185,1.26145,6.733e-05,6.733e-05,6.733e-05
35,3872.66,0.79134,0.50916,1.17536,0.99357,0.99618,0.99468,0.80964,0.793,0.31611,1.25797,6.634e-05,6.634e-05,6.634e-05
36,3982.86,0.79204,0.50634,1.18052,0.99356,0.99478,0.99487,0.81138,0.79878,0.32464,1.26133,6.535e-05,6.535e-05,6.535e-05
37,4091.44,0.77924,0.50587,1.17595,0.99241,0.9963,0.99475,0.81019,0.80095,0.31723,1.26083,6.436e-05,6.436e-05,6.436e-05
38,4200.54,0.77122,0.50278,1.17052,0.99185,0.99297,0.99474,0.81394,0.78312,0.31862,1.25412,6.337e-05,6.337e-05,6.337e-05
39,4310.88,0.77477,0.49594,1.1721,0.9959,0.99596,0.9949,0.80138,0.79794,0.32193,1.27037,6.238e-05,6.238e-05,6.238e-05
40,4418.49,0.77427,0.49631,1.17467,0.99531,0.99508,0.99487,0.81405,0.77963,0.31063,1.24531,6.139e-05,6.139e-05,6.139e-05
41,4527.59,0.76834,0.48738,1.17186,0.99461,0.99766,0.9949,0.81354,0.78379,0.3127,1.24792,6.04e-05,6.04e-05,6.04e-05
42,4635.9,0.77485,0.48884,1.16912,0.99441,0.99766,0.99487,0.81609,0.78439,0.31342,1.24853,5.941e-05,5.941e-05,5.941e-05
43,4744.79,0.77651,0.49169,1.17485,0.99551,0.99648,0.99492,0.81746,0.78754,0.31089,1.24597,5.842e-05,5.842e-05,5.842e-05
44,4854.83,0.77122,0.49156,1.17078,0.99707,0.99657,0.99486,0.81381,0.77353,0.30851,1.24221,5.743e-05,5.743e-05,5.743e-05
45,4964.29,0.76595,0.48013,1.16498,0.99597,0.99531,0.99489,0.82108,0.77015,0.30589,1.23848,5.644e-05,5.644e-05,5.644e-05
46,5074.4,0.76562,0.48291,1.16702,0.99463,0.99648,0.99488,0.82418,0.77212,0.30064,1.23846,5.545e-05,5.545e-05,5.545e-05
47,5183.05,0.76057,0.47913,1.16743,0.99529,0.99648,0.99481,0.81821,0.77741,0.30284,1.24576,5.446e-05,5.446e-05,5.446e-05
48,5292.17,0.75942,0.48021,1.16657,0.99765,0.99681,0.99487,0.82013,0.7797,0.30434,1.24353,5.347e-05,5.347e-05,5.347e-05
49,5401.41,0.75852,0.47379,1.1596,0.9962,0.99707,0.99476,0.81957,0.77684,0.29703,1.2409,5.248e-05,5.248e-05,5.248e-05
50,5510.95,0.752,0.4696,1.15816,0.99509,0.99472,0.99489,0.81524,0.79502,0.3071,1.25635,5.149e-05,5.149e-05,5.149e-05
51,5621.26,0.75485,0.46864,1.15865,0.99559,0.99355,0.99486,0.82377,0.77558,0.30731,1.24101,5.05e-05,5.05e-05,5.05e-05
52,5729.46,0.74849,0.4682,1.1536,0.99638,0.9959,0.99489,0.81926,0.77634,0.30236,1.2419,4.951e-05,4.951e-05,4.951e-05
53,5838.59,0.74691,0.46232,1.14949,0.99734,0.99766,0.99493,0.81851,0.76775,0.29638,1.2389,4.852e-05,4.852e-05,4.852e-05
54,5947.01,0.75548,0.46567,1.15623,0.99707,0.99599,0.99493,0.82023,0.77967,0.30033,1.24279,4.753e-05,4.753e-05,4.753e-05
55,6057,0.74771,0.45869,1.1562,0.99765,0.99647,0.99493,0.82233,0.771,0.29676,1.23599,4.654e-05,4.654e-05,4.654e-05
56,6167.31,0.75225,0.46308,1.15998,0.99741,0.99648,0.99494,0.82933,0.76665,0.29784,1.22978,4.555e-05,4.555e-05,4.555e-05
